x,y,u,v
0.86145836,0.0787037,-0.040625002,0.0027777776
0.97916675,0.64537036,-0.041666668,-0.0016203703
0.23541668,0.15833333,-0.039583337,-0.0027777776
0.5755209,0.25925925,-0.03841146,0.00023148148
0.2765625,0.12777777,-0.039453126,-0.0018518518
0.9802084,0.81296295,-0.08463542,-0.00625
0.9458334,0.27314815,-0.041796878,0.0016203703
0.52552086,0.8666667,-0.038151044,-0
0.6010417,0.4074074,-0.038541667,0.00023148148
0.33489585,0.2,-0.039062504,-0.00046296295
0.9718751,0.5879629,-0.042708337,-0.0027777776
0.65625006,0.92777777,-0.07747396,-0.0020833332
0.259375,0.07037037,-0.080598965,-0.004398148
0.4010417,0.28888887,-0.038671877,-0
0.13229167,1.0018518,-0.12825522,0.0018518518
0.5854167,0.05185185,-0.11497396,0.0006944444
0.28489584,0.90555555,-0.03932292,0.0020833332
0.0625,0.8481481,-0.042057294,0.0037037036
0.52552086,0.11111111,-0.03841146,-0
0.11197917,0.5407407,-0.04153646,0.0006944444
0.9645834,0.13703704,-0.042057294,-0
0.96354175,0.22685185,-0.042708337,0.0027777776
0.83802086,0.66018516,-0.040364586,-0.0013888888
0.112500004,0.275,-0.041666668,-0.0013888888
0.36822918,0.0064814813,-0.07890625,-0.0032407406
0.63437504,0.0064814813,-0.038671877,0.0009259259
0.49218753,0.67407405,-0.038151044,-0
0.95520836,0.79814816,-0.08476563,-0.005555555
0.9458334,0.71944445,-0.041666668,-0.0016203703
0.55052084,0.72962964,-0.03841146,-0.00023148148
0.9718751,0.82777774,-0.08476563,-0.00625
0.45468754,0.7314815,-0.11718751,0.0018518518
0.31041667,0.8944444,-0.039583337,0.0018518518
0.30156252,0.43703702,-0.03919271,-0.00023148148
0.68437505,0.88240737,-0.038932294,-0.0011574074
0.9010417,0.3212963,-0.040755212,0.0016203703
0.46302086,0.17222221,-0.11718751,-0.0018518518
0.89270836,0.8583333,-0.04101563,-0.0027777776
0.6677084,0.5555555,-0.038541667,-0
0.21927084,0.52592593,-0.04010417,-0
0.9197917,0.21481481,-0.08229167,0.00023148148
0.59270835,0.17037037,-0.038541667,0.00046296295
0.26875,0.11296296,-0.039713543,-0.0018518518
0.4171875,0.76296294,-0.03841146,0.00046296295
0.5921875,0.5407407,-0.03841146,-0.00046296295
0.9286459,0.9296296,-0.04153646,-0.0037037036
0.63437504,0.4074074,-0.038541667,0.00023148148
