x,y,u,v
0.03125003,0.055555582,0.15517196,0.27321452
0.03125003,0.16666669,0.12906587,0.22514766
0.03125003,0.2777778,0.0984841,0.18788943
0.03125003,0.3888889,0.062167376,0.16448015
0.03125003,0.5,0.018336177,0.15921819
0.03125003,0.6111111,-0.03561136,0.17838621
0.03125003,0.7222222,-0.10363439,0.23154521
0.03125003,0.8333333,-0.19206753,0.3339936
0.03125003,0.9444444,-0.31171897,0.5118315
0.09375,0.055555582,0.13354439,0.27231526
0.09375,0.16666669,0.110430986,0.22482246
0.09375,0.2777778,0.08331084,0.18835816
0.09375,0.3888889,0.051043034,0.16606224
0.09375,0.5,0.012008429,0.16239154
0.09375,0.6111111,-0.03617081,0.18389112
0.09375,0.7222222,-0.09713465,0.24057949
0.09375,0.8333333,-0.17675018,0.34860557
0.09375,0.9444444,-0.28512287,0.535784
0.15625,0.055555582,0.11269969,0.27139878
0.15625,0.16666669,0.092704,0.22449052
0.15625,0.2777778,0.06920296,0.18883741
0.15625,0.3888889,0.041186273,0.16768336
0.15625,0.5,0.007214099,0.1656515
0.15625,0.6111111,-0.03483838,0.18956405
0.15625,0.7222222,-0.0882431,0.24992687
0.15625,0.8333333,-0.15831411,0.36380273
0.15625,0.9444444,-0.254296,0.5608736
0.21875,0.055555582,0.092660606,0.27046454
0.21875,0.16666669,0.07591349,0.22415167
0.21875,0.2777778,0.056197047,0.1893276
0.21875,0.3888889,0.032644868,0.16934502
0.21875,0.5,0.004016906,0.1690017
0.21875,0.6111111,-0.03152582,0.19541305
0.21875,0.7222222,-0.07683268,0.2596041
0.21875,0.8333333,-0.13656798,0.37962168
0.21875,0.9444444,-0.21892923,0.58718395
0.28125,0.055555582,0.073450774,0.26951212
0.28125,0.16666669,0.06008911,0.22380567
0.28125,0.2777778,0.044331133,0.18982905
0.28125,0.3888889,0.025468677,0.1710487
0.28125,0.5,0.002484113,0.1724459
0.28125,0.6111111,-0.026139617,0.20144635
0.28125,0.7222222,-0.06276792,0.26962888
0.28125,0.8333333,-0.11130431,0.39610094
0.28125,0.9444444,-0.17868319,0.61480606
0.34375,0.055555582,0.05509475,0.26854086
0.34375,0.16666669,0.04526186,0.22345224
0.34375,0.2777778,0.033644974,0.19034222
0.34375,0.3888889,0.019710153,0.17279601
0.34375,0.5,0.002686739,0.17598814
0.34375,0.6111111,-0.018580168,0.20767277
0.34375,0.7222222,-0.045903057,0.28002012
0.34375,0.8333333,-0.08229822,0.41328305
0.34375,0.9444444,-0.13318369,0.64384043
0.40625,0.055555582,0.03761798,0.2675503
0.40625,0.16666669,0.03146401,0.22309119
0.40625,0.2777778,0.024180353,0.19086745
0.40625,0.3888889,0.01542449,0.17458874
0.40625,0.5,0.0046999156,0.17963266
0.40625,0.6111111,-0.008741468,0.21410173
0.40625,0.7222222,-0.02608174,0.29079866
0.40625,0.8333333,-0.04930514,0.4312138
0.40625,0.9444444,-0.08201718,0.67439806
0.46875,0.055555582,0.021047026,0.26653975
0.46875,0.16666669,0.01872927,0.22272226
0.46875,0.2777778,0.01598093,0.19140527
0.46875,0.3888889,0.012669802,0.17642856
0.46875,0.5,0.008603275,0.183384
0.46875,0.6111111,0.0034895241,0.2207433
0.46875,0.7222222,-0.0031356812,0.30198634
0.46875,0.8333333,-0.012058675,0.449943
0.46875,0.9444444,-0.024725705,0.7066026
0.53125,0.055555582,0.0054095387,0.2655087
0.53125,0.16666669,0.0070928335,0.22234517
0.53125,0.2777778,0.009092569,0.19195601
0.53125,0.3888889,0.011507273,0.17831743
0.53125,0.5,0.014481068,0.18724686
0.53125,0.6111111,0.018233538,0.2276082
0.53125,0.7222222,0.023116589,0.31360686
0.53125,0.8333333,0.02973181,0.46952575
0.53125,0.9444444,0.03919959,0.74059045
0.59375,0.055555582,-0.00926578,0.26445645
0.59375,0.16666669,-0.0034085512,0.22195968
0.59375,0.2777778,0.0035632849,0.19252026
0.59375,0.3888889,0.012001455,0.18025732
0.59375,0.5,0.02242279,0.1912263
0.59375,0.6111111,0.035619497,0.23470789
0.59375,0.7222222,0.05287075,0.32568586
0.59375,0.8333333,0.07638407,0.49002117
0.59375,0.9444444,0.110325456,0.7765142
0.65625,0.055555582,-0.02294898,0.2633824
0.65625,0.16666669,-0.01273644,0.22156549
0.65625,0.2777778,-0.00055640936,0.19309843
0.65625,0.3888889,0.014220297,0.18225032
0.65625,0.5,0.032523155,0.1953277
0.65625,0.6111111,0.0557853,0.24205464
0.65625,0.7222222,0.08633816,0.33825076
0.65625,0.8333333,0.1282463,0.5114948
0.65625,0.9444444,0.18928504,0.8145437
0.71875,0.055555582,-0.035608888,0.26228586
0.71875,0.16666669,-0.020850658,0.22116232
0.71875,0.2777778,-0.003213644,0.1936911
